transaction date,house age,distance to the nearest MRT station,GarageArea,number of convenience stores,latitude,longitude,Neighborhood,GarageType,house price of unit area
2013.333,25.6,4519.69,308,0,24.94826,121.49587,NAmes,Attchd,15.6
2013.167,39.8,617.7134,880,2,24.97577,121.53475,NridgHt,Attchd,39.6
2012.75,7.8,104.8101,484,5,24.96674,121.54067,NridgHt,Attchd,38.4
2012.917,30,1013.341,472,5,24.99006,121.5346,Gilbert,Attchd,22.8
2013.583,27.3,337.6016,529,6,24.96431,121.54063,Timber,Attchd,36.5
2012.833,5.1,1867.233,676,2,24.98407,121.51748,StoneBr,Attchd,35.6
2012.833,31.3,600.8604,532,5,24.96871,121.54651,CollgCr,Attchd,30.9
2012.917,31.5,258.186,440,9,24.96867,121.54331,NWAmes,Attchd,36.3
2013.333,1.7,329.9747,297,5,24.98254,121.54395,NAmes,Attchd,50.4
2013.333,33.6,270.8895,431,0,24.97281,121.53265,Timber,Attchd,42.9
2013,13,750.0704,294,2,24.97371,121.54951,SawyerW,CarPort,37
2012.667,5.7,90.45606,400,9,24.97433,121.5431,NAmes,Detchd,53.5
2013,33.5,563.2854,564,8,24.98223,121.53597,NridgHt,Attchd,46.6
2013.5,34.6,3085.17,336,0,24.998,121.5155,MeadowV,Attchd,41.2
2012.667,0,185.4296,312,0,24.9711,121.5317,BrkSide,Detchd,37.9
2013.417,13.2,1712.632,301,2,24.96412,121.5167,NAmes,Attchd,30.8
2013.583,17.4,6488.021,498,1,24.95719,121.47353,NAmes,Attchd,11.2
2012.833,4.6,259.6607,474,6,24.97585,121.54516,NridgHt,BuiltIn,53.7
2012.75,7.8,104.8101,706,5,24.96674,121.54067,NridgHt,Attchd,47
2013,13.2,492.2313,617,5,24.96515,121.53737,NridgHt,Attchd,42.3
2012.833,4,2180.245,445,3,24.96324,121.51241,ClearCr,Attchd,28.6
2012.833,18.4,2674.961,200,3,24.96143,121.50827,Edwards,Detchd,25.7
2013.5,4.1,2147.376,484,3,24.96299,121.51284,OldTown,Detchd,31.3
2013.417,12.2,1360.139,240,1,24.95204,121.54842,SWISU,Attchd,30.1
2013.25,3.8,383.8624,521,5,24.98085,121.54391,CollgCr,Attchd,60.7
2012.833,10.3,211.4473,400,1,24.97417,121.52999,Gilbert,Attchd,45.3
2013.417,0,338.9679,528,9,24.96853,121.54413,MeadowV,Attchd,44.9
2013.167,1.1,193.5845,288,6,24.96571,121.54089,ClearCr,BuiltIn,45.1
2013.5,5.6,2408.993,592,0,24.95505,121.55964,NoRidge,Attchd,24.7
2012.667,32.9,87.30222,470,10,24.983,121.54022,Mitchel,Attchd,47.1
2013.083,41.4,281.205,240,8,24.97345,121.54093,BrkSide,Detchd,63.3
2013.417,17.1,967.4,672,4,24.98872,121.53408,Edwards,BuiltIn,40
2013.5,32.3,109.9455,264,10,24.98182,121.54086,BrDale,Detchd,48
2013.417,35.3,614.1394,566,7,24.97913,121.53666,NWAmes,Attchd,33.1
2012.917,17.3,2261.432,468,4,24.96182,121.51222,IDOTRR,Detchd,29.5
2012.75,14.2,1801.544,514,1,24.95153,121.55254,NAmes,Attchd,24.8
2012.833,15,1828.319,296,2,24.96464,121.51531,NAmes,Basment,20.9
2013.417,18.2,350.8515,244,1,24.97544,121.53119,NAmes,Attchd,43.1
2012.667,20.2,2185.128,576,3,24.96322,121.51237,NAmes,Detchd,22.8
2012.75,15.9,289.3248,460,5,24.98203,121.54348,Gilbert,Attchd,42.1
2013.5,4.1,312.8963,680,5,24.95591,121.53956,ClearCr,Detchd,51.7
2013,33.9,157.6052,264,7,24.96628,121.54196,SawyerW,Attchd,41.5
2013.083,0,274.0144,270,1,24.9748,121.53059,NAmes,Attchd,52.2
2013.25,5.4,390.5684,434,5,24.97937,121.54245,CollgCr,BuiltIn,49.5
2013.25,21.7,1157.988,0,0,24.96165,121.55011,Edwards,NA,23.8
2013.417,14.7,1717.193,576,2,24.96447,121.51649,CollgCr,Detchd,30.5
2013.333,3.9,49.66105,610,8,24.95836,121.53756,Somerst,Attchd,56.8
2013.333,37.3,587.8877,834,8,24.97077,121.54634,StoneBr,Attchd,37.4
2013.333,0,292.9978,463,6,24.97744,121.54458,Gilbert,Attchd,69.7
2013.333,14.1,289.3248,308,5,24.98203,121.54348,SWISU,Detchd,53.3
2013.417,8,132.5469,572,9,24.98298,121.53981,Somerst,Attchd,47.3
2013,16.3,3529.564,639,0,24.93207,121.51597,CollgCr,Attchd,29.3
2012.667,29.1,506.1144,360,4,24.97845,121.53889,SawyerW,Detchd,40.3
2012.75,16.1,4066.587,501,0,24.94297,121.50342,ClearCr,Attchd,12.9
2013,18.3,82.88643,430,10,24.983,121.54026,Blmngtn,Attchd,46.6
2012.833,0,185.4296,0,0,24.9711,121.5317,Edwards,NA,55.3
2013.25,16.2,2103.555,352,3,24.96042,121.51462,Edwards,Detchd,25.6
2013.5,10.4,2251.938,577,4,24.95957,121.51353,CollgCr,Attchd,27.3
2013.25,40.9,122.3619,846,8,24.96756,121.5423,NridgHt,BuiltIn,67.7
2013.5,32.8,377.8302,384,9,24.97151,121.5435,Edwards,Detchd,38.6
2013.583,6.2,1939.749,560,1,24.95155,121.55387,Mitchel,BuiltIn,31.3
2013.083,42.7,443.802,294,6,24.97927,121.53874,NAmes,Attchd,35.3
2013,16.9,967.4,0,4,24.98872,121.53408,BrkSide,NA,40.3
2013.5,32.6,4136.271,240,1,24.95544,121.4963,OldTown,Detchd,24.7
2012.917,21.2,512.5487,596,4,24.974,121.53842,Edwards,Attchd,42.5
2012.667,37.1,918.6357,600,1,24.97198,121.55063,CollgCr,Detchd,31.9
2013.417,13.1,1164.838,264,4,24.99156,121.53406,NAmes,Attchd,32.2
2013.417,14.7,1717.193,338,2,24.96447,121.51649,IDOTRR,Detchd,23
2012.917,12.7,170.1289,438,1,24.97371,121.52984,Somerst,Attchd,37.3
2013.25,26.8,482.7581,500,5,24.97433,121.53863,Veenker,Attchd,35.5
2013.083,7.6,2175.03,400,3,24.96305,121.51254,CollgCr,Attchd,27.7
2012.833,12.7,187.4823,240,1,24.97388,121.52981,Sawyer,Detchd,28.5
2012.667,30.9,161.942,420,9,24.98353,121.53966,NoRidge,BuiltIn,39.7
2013.333,16.4,289.3248,373,5,24.98203,121.54348,Gilbert,BuiltIn,41.2
2012.667,23,130.9945,490,6,24.95663,121.53765,Sawyer,Attchd,37.2
2013.167,1.9,372.1386,240,7,24.97293,121.54026,SWISU,Detchd,40.5
2013,5.2,2408.993,308,0,24.95505,121.55964,Crawfor,Attchd,22.3
2013.417,18.5,2175.744,947,3,24.9633,121.51243,NridgHt,Attchd,28.1
2013,13.7,4082.015,836,0,24.94155,121.50381,Somerst,Attchd,15.4
2012.667,5.6,90.45606,350,9,24.97433,121.5431,Edwards,Attchd,50
2013.25,18.8,390.9696,572,7,24.97923,121.53986,Gilbert,Attchd,40.6
2013,8.1,104.8101,484,5,24.96674,121.54067,Somerst,Attchd,52.5
2013.5,6.5,90.45606,360,9,24.97433,121.5431,OldTown,Detchd,63.9
